,Unnamed: 0,Unnamed: 0.1,name,description,attribution,columns_field_name,columns_name,type,categories,domain_category,domain_tags,provenance,download_count,page_views_last_month,page_views_last_week,page_views_total,page_views_total_log,domain,mash,big_mash,topic_comp,topic_comp_list,top_topic_id
2109,2109,2109,Building Footprints (deprecated August 2015),"['OUTDATED', 'See', 'the', 'current', 'data', 'at', 'https', '//data', 'cityofchicago', 'org/d/hz9b', '7nh8', 'Building', 'footprints', 'in', 'Chicago', 'Metadata', 'may', 'be', 'viewed', 'and', 'downloaded', 'at', 'http', '//bit', 'ly/HZVDIY', 'The', 'data', 'can', 'be', 'viewed', 'on', 'the', 'Chicago', 'Data', 'Portal', 'with', 'a', 'web', 'browser', 'However', 'to', 'view', 'or', 'use', 'the', 'files', 'outside', 'of', 'a', 'web', 'browser', 'you', 'will', 'need', 'to', 'use', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', '(shapefile)', 'or', 'Google', 'Earth', '(KML', 'or', 'KMZ)', 'is', 'required']",City of Chicago,[],[],map,[],Buildings,"['deprecated', 'map_layer', 'kml', 'shapefiles', 'gis']",official,2622.0,60.0,11.0,6035.0,12.5593770905,data.cityofchicago.org,"['deprecated', 'map_layer', 'kml', 'shapefiles', 'gis', 'buildings']","['deprecated', 'map_layer', 'kml', 'shapefiles', 'gis', 'buildings', 'OUTDATED', 'See', 'the', 'current', 'data', 'at', 'https', '//data', 'cityofchicago', 'org/d/hz9b', '7nh8', 'Building', 'footprints', 'in', 'Chicago', 'Metadata', 'may', 'be', 'viewed', 'and', 'downloaded', 'at', 'http', '//bit', 'ly/HZVDIY', 'The', 'data', 'can', 'be', 'viewed', 'on', 'the', 'Chicago', 'Data', 'Portal', 'with', 'a', 'web', 'browser', 'However', 'to', 'view', 'or', 'use', 'the', 'files', 'outside', 'of', 'a', 'web', 'browser', 'you', 'will', 'need', 'to', 'use', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', '(shapefile)', 'or', 'Google', 'Earth', '(KML', 'or', 'KMZ)', 'is', 'required']","[(0, 0.041443206796168038), (1, 0.021289357446928527), (12, 0.17965701202565446), (21, 0.043184248956614608), (24, 0.60880038324011965), (26, 0.020942745259853995), (30, 0.022525938909615285), (37, 0.017336369472579199), (42, 0.027944756730771847)]","[(24, 0.6088003832401196), (12, 0.17965701202565446), (21, 0.04318424895661461), (0, 0.04144320679616804), (42, 0.027944756730771847), (30, 0.022525938909615285), (1, 0.021289357446928527), (26, 0.020942745259853995), (37, 0.0173363694725792)]",24
15453,15622,15622,Top 20 Consumer Complaints,[],Washington State Attorney General's Office Consumer Protection Division,"['id', 'businesscategory']","['id', 'BusinessCategory']",chart,[],Consumer Protection,[],official,143.0,392.0,103.0,5791.0,12.4998458871,data.wa.gov,"['consumer', 'protection']","['consumer', 'protection']","[(24, 0.33974358974358998), (27, 0.33974358974358998)]","[(24, 0.33974358974359), (27, 0.33974358974359)]",24
15454,15623,15623,Telephone Inquiries Column Chart,[],,"['year', 'telephone_inquiries']","['Year', 'Telephone Inquiries']",chart,[],Consumer Protection,"['inquiry', 'telephone', 'complaint', 'consumer']",official,58.0,361.0,95.0,5621.0,12.4568677384,data.wa.gov,"['inquiry', 'telephone', 'complaint', 'consumer', 'consumer', 'protection']","['inquiry', 'telephone', 'complaint', 'consumer', 'consumer', 'protection']","[(24, 0.28846153846153855), (27, 0.14560439560439564), (32, 0.14560439560438157), (41, 0.28846153846153855)]","[(24, 0.28846153846153855), (41, 0.28846153846153855), (27, 0.14560439560439564), (32, 0.14560439560438157)]",24
2117,2117,2117,CTA - 'L' (Rail) Stations - Shapefile,"['Point', 'data', 'representing', 'location', 'of', 'CTA', 'Rail', 'Station', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required', 'Projected', 'Coordinate', 'System', 'NAD_1983_StatePlane_Illinois_East_FIPS_1201_Feet']",Chicago Transit Authority,[],[],file,[],Transportation,"['sustainability', 'rail', 'cta', 'shapefiles', 'gis']",official,4317.0,80.0,15.0,5545.0,12.437231901,data.cityofchicago.org,"['sustainability', 'rail', 'cta', 'shapefiles', 'gis', 'transportation']","['sustainability', 'rail', 'cta', 'shapefiles', 'gis', 'transportation', 'Point', 'data', 'representing', 'location', 'of', 'CTA', 'Rail', 'Station', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required', 'Projected', 'Coordinate', 'System', 'NAD_1983_StatePlane_Illinois_East_FIPS_1201_Feet']","[(0, 0.036573308296593617), (12, 0.046921939567179424), (21, 0.037864522133488655), (24, 0.40124673781376413), (28, 0.25623458349160411), (30, 0.097206381719958143), (44, 0.038226392428292635), (46, 0.055506354329338557)]","[(24, 0.40124673781376413), (28, 0.2562345834916041), (30, 0.09720638171995814), (46, 0.05550635432933856), (12, 0.046921939567179424), (44, 0.038226392428292635), (21, 0.037864522133488655), (0, 0.03657330829659362)]",24
2124,2124,2124,Pedway Routes,"['Pedway', 'routes', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']",City of Chicago,[],[],file,['transportation'],Transportation,"['on_mondara', 'sustainability', 'shapefiles', 'gis', 'pedestrians']",official,2981.0,73.0,17.0,5391.0,12.3966047812,data.cityofchicago.org,"['on_mondara', 'sustainability', 'shapefiles', 'gis', 'pedestrians', 'transportation', 'transportation']","['on_mondara', 'sustainability', 'shapefiles', 'gis', 'pedestrians', 'transportation', 'transportation', 'Pedway', 'routes', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']","[(0, 0.046505265729735956), (3, 0.18573114156891096), (12, 0.05249706554160536), (21, 0.04632867132867128), (24, 0.62785393974715942)]","[(24, 0.6278539397471594), (3, 0.18573114156891096), (12, 0.05249706554160536), (0, 0.046505265729735956), (21, 0.04632867132867128)]",24
2131,2131,2131,Boundaries - Curb Lines,"['Curb', 'lines', 'for', 'the', 'city', 'of', 'Chicago', 'Curb', 'lines', 'mark', 'the', 'points', 'where', 'curbs', 'meet', 'the', 'edge', 'of', 'the', 'street', 'pavement', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']",City of Chicago,[],[],file,[],Transportation,"['shapefiles', 'gis', 'boundaries', 'streets']",official,3595.0,54.0,8.0,4957.0,12.2755425561,data.cityofchicago.org,"['shapefiles', 'gis', 'boundaries', 'streets', 'transportation']","['shapefiles', 'gis', 'boundaries', 'streets', 'transportation', 'Curb', 'lines', 'for', 'the', 'city', 'of', 'Chicago', 'Curb', 'lines', 'mark', 'the', 'points', 'where', 'curbs', 'meet', 'the', 'edge', 'of', 'the', 'street', 'pavement', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']","[(0, 0.034112180194287411), (1, 0.067307692307692221), (3, 0.36730769230769184), (13, 0.034282147987291907), (21, 0.03397435897435893), (24, 0.43352874874149694)]","[(24, 0.43352874874149694), (3, 0.36730769230769184), (1, 0.06730769230769222), (13, 0.03428214798729191), (0, 0.03411218019428741), (21, 0.03397435897435893)]",24
10382,10551,10551,Cultural Products Districts,"[""Louisiana's"", 'Cultural', 'Products', 'Districts', 'provide', 'for', 'tax', 'free', 'sales', 'of', 'original', 'works', 'of', 'visual', 'art', 'as', 'well', 'as', 'tax', 'credits', 'for', 'commercial', 'and', 'residential', 'renovation', 'within', 'the', 'specified', 'district', 'The', 'primary', 'goal', 'of', 'this', 'initiative', 'is', 'to', 'spark', 'community', 'revitalization', 'based', 'on', 'cultural', 'activity', 'though', 'tax', 'incentives', 'This', 'dataset', 'depicts', 'boundaries', 'as', 'of', 'October', '2012', 'for', 'the', '21', 'Cultural', 'Products', 'Districts', 'within', 'the', 'City', 'of', 'New', 'Orelans', 'This', 'dataset', 'is', 'designed', 'to', 'be', 'used', 'in', 'conjunction', 'with', 'the', 'City', 'of', 'New', 'Orleans', ""'Parcel'"", 'and', ""'Address'"", 'data', 'to', 'identify', 'eligible', 'properties', 'For', 'specific', 'information', 'on', 'eligibility', 'please', 'contact', 'the', 'City', 'of', 'New', 'Orelans', 'Cultural', 'Economy', 'Project', 'Coordinator', 'Update', 'As', 'Needed']","City of New Orleans ��� Office of Information Technology & Innovation, Enterprise Information Team",[],[],map,['education'],Economy and Workforce,"['products', 'districts', 'superbowl', 'new orleans', 'cultural']",official,598.0,23.0,8.0,4665.0,12.187970592,data.nola.gov,"['products', 'districts', 'superbowl', 'new', 'orleans', 'cultural', 'education', 'economy', 'and', 'workforce']","['products', 'districts', 'superbowl', 'new', 'orleans', 'cultural', 'education', 'economy', 'and', 'workforce', ""Louisiana's"", 'Cultural', 'Products', 'Districts', 'provide', 'for', 'tax', 'free', 'sales', 'of', 'original', 'works', 'of', 'visual', 'art', 'as', 'well', 'as', 'tax', 'credits', 'for', 'commercial', 'and', 'residential', 'renovation', 'within', 'the', 'specified', 'district', 'The', 'primary', 'goal', 'of', 'this', 'initiative', 'is', 'to', 'spark', 'community', 'revitalization', 'based', 'on', 'cultural', 'activity', 'though', 'tax', 'incentives', 'This', 'dataset', 'depicts', 'boundaries', 'as', 'of', 'October', '2012', 'for', 'the', '21', 'Cultural', 'Products', 'Districts', 'within', 'the', 'City', 'of', 'New', 'Orelans', 'This', 'dataset', 'is', 'designed', 'to', 'be', 'used', 'in', 'conjunction', 'with', 'the', 'City', 'of', 'New', 'Orleans', ""'Parcel'"", 'and', ""'Address'"", 'data', 'to', 'identify', 'eligible', 'properties', 'For', 'specific', 'information', 'on', 'eligibility', 'please', 'contact', 'the', 'City', 'of', 'New', 'Orelans', 'Cultural', 'Economy', 'Project', 'Coordinator', 'Update', 'As', 'Needed']","[(1, 0.026342456919283965), (4, 0.030248486838505409), (5, 0.022347582967680524), (6, 0.024962737650208584), (9, 0.015637704831767935), (18, 0.027911808645605284), (23, 0.042571229021363018), (24, 0.18540234710842826), (25, 0.06927801219958038), (27, 0.053942419211150325), (29, 0.077297819813704607), (30, 0.060147945178281557), (31, 0.042514795335993102), (34, 0.047623980314644522), (35, 0.10104661912536426), (42, 0.042060789231216325), (43, 0.043042203931507927), (45, 0.018686234041901614), (49, 0.060798732959255281)]","[(24, 0.18540234710842826), (35, 0.10104661912536426), (29, 0.07729781981370461), (25, 0.06927801219958038), (49, 0.06079873295925528), (30, 0.06014794517828156), (27, 0.053942419211150325), (34, 0.04762398031464452), (43, 0.04304220393150793), (23, 0.04257122902136302), (31, 0.0425147953359931), (42, 0.042060789231216325), (4, 0.03024848683850541), (18, 0.027911808645605284), (1, 0.026342456919283965), (6, 0.024962737650208584), (5, 0.022347582967680524), (45, 0.018686234041901614), (9, 0.015637704831767935)]",24
2135,2135,2135,Building Footprints (Deprecated December 2013),"['OUTDATED', 'See', 'the', 'current', 'data', 'at', 'https', '//data', 'cityofchicago', 'org/d/hz9b', '7nh8', 'Building', 'footprints', 'in', 'Chicago', 'The', 'data', 'can', 'be', 'viewed', 'on', 'the', 'Chicago', 'Data', 'Portal', 'with', 'a', 'web', 'browser', 'However', 'to', 'view', 'or', 'use', 'the', 'files', 'outside', 'of', 'a', 'web', 'browser', 'you', 'will', 'need', 'to', 'use', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', '(shapefile)', 'or', 'Google', 'Earth', '(KML', 'or', 'KMZ)', 'is', 'required', 'Metadata', 'may', 'be', 'viewed', 'and', 'downloaded', 'at', 'http', '//bit', 'ly/HZVDIY']",City of Chicago,[],[],map,[],Buildings,"['deprecated', 'map_layer', 'kml', 'shapefiles', 'gis']",official,1681.0,20.0,2.0,4639.0,12.17990909,data.cityofchicago.org,"['deprecated', 'map_layer', 'kml', 'shapefiles', 'gis', 'buildings']","['deprecated', 'map_layer', 'kml', 'shapefiles', 'gis', 'buildings', 'OUTDATED', 'See', 'the', 'current', 'data', 'at', 'https', '//data', 'cityofchicago', 'org/d/hz9b', '7nh8', 'Building', 'footprints', 'in', 'Chicago', 'The', 'data', 'can', 'be', 'viewed', 'on', 'the', 'Chicago', 'Data', 'Portal', 'with', 'a', 'web', 'browser', 'However', 'to', 'view', 'or', 'use', 'the', 'files', 'outside', 'of', 'a', 'web', 'browser', 'you', 'will', 'need', 'to', 'use', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', '(shapefile)', 'or', 'Google', 'Earth', '(KML', 'or', 'KMZ)', 'is', 'required', 'Metadata', 'may', 'be', 'viewed', 'and', 'downloaded', 'at', 'http', '//bit', 'ly/HZVDIY']","[(0, 0.041443225494601388), (1, 0.021289424499582817), (12, 0.17968003608879068), (21, 0.043184067187056308), (24, 0.6088186709291814), (26, 0.020942769512839209), (30, 0.022521181511492353), (37, 0.017441557826598092), (42, 0.027803085788163373)]","[(24, 0.6088186709291814), (12, 0.17968003608879068), (21, 0.04318406718705631), (0, 0.04144322549460139), (42, 0.027803085788163373), (30, 0.022521181511492353), (1, 0.021289424499582817), (26, 0.02094276951283921), (37, 0.017441557826598092)]",24
2136,2136,2136,Railroads,"['Railroad', 'lines', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']",City of Chicago,[],[],file,[],Transportation,"['shapefiles', 'gis', 'rail']",official,3219.0,46.0,6.0,4635.0,12.178664851,data.cityofchicago.org,"['shapefiles', 'gis', 'rail', 'transportation']","['shapefiles', 'gis', 'rail', 'transportation', 'Railroad', 'lines', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']","[(0, 0.053880104024689922), (1, 0.053643724696356219), (17, 0.053643724696356219), (21, 0.053643724696356219), (24, 0.6323547137890746), (28, 0.10627530364372462)]","[(24, 0.6323547137890746), (28, 0.10627530364372462), (0, 0.05388010402468992), (1, 0.05364372469635622), (17, 0.05364372469635622), (21, 0.05364372469635622)]",24
1270,1270,1270,One Day Liquor Licenses,[],Baltimore City Liquor License Board,"['licenseclass', 'addrstreet', 'addrzip', 'startdate', 'fee', 'subclass', 'nponame', 'description', 'issuedate', 'certificatenumber', 'locname', 'enddate']","['LicenseClass', 'AddrStreet', 'AddrZip', 'StartDate', 'fee', 'SubClass', 'NPOName', 'Description', 'IssueDate', 'certificateNumber', 'LocName', 'EndDate']",dataset,[],City Services,"['festival', 'liquor', 'permit', 'event', 'license']",official,2048.0,33.0,10.0,4588.0,12.1639640914,data.baltimorecity.gov,"['festival', 'liquor', 'permit', 'event', 'license', 'city', 'services']","['festival', 'liquor', 'permit', 'event', 'license', 'city', 'services']","[(24, 0.25240384615384626), (37, 0.16903100806127874), (39, 0.1274038461538462), (43, 0.1274038461538462), (48, 0.21077668424641369)]","[(24, 0.25240384615384626), (48, 0.2107766842464137), (37, 0.16903100806127874), (39, 0.1274038461538462), (43, 0.1274038461538462)]",24
17117,17286,17286,Nursing Home Cost Report (RHCF): 2009,"['The', 'Nursing', 'Home', 'Cost', 'Report', '(RHCF)', 'is', 'a', 'uniform', 'report', 'completed', 'by', 'New', 'York', 'nursing', 'homes', 'to', 'report', 'income', 'expenses', 'assets', 'liabilities', 'and', 'statistics', 'to', 'the', 'Department', 'of', 'Health', '(DOH)', 'Under', 'DOH', 'regulations', '(Part', '86', '2', '2)', 'nursing', 'homes', 'are', 'required', 'to', 'file', 'financial', 'and', 'statistical', 'data', 'with', 'DOH', 'annually', 'The', 'data', 'filed', 'is', 'part', 'of', 'the', 'cost', 'report', 'and', 'is', 'received', 'electronically', 'through', 'a', 'secured', 'network', 'This', 'data', 'is', 'used', 'to', 'develop', 'Medicaid', 'rates', 'assist', 'in', 'the', 'formulation', 'of', 'reimbursement', 'methodologies', 'and', 'analyze', 'trends', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/facilities/nursing/', 'or', 'go', 'to', 'the', '“About', '“', 'tab']",New York State Department of Health,[],[],file,"['health', 'finance', 'economy']",Health,"['quality-safety-costs', 'reimbursement', 'nursing homes', 'financial', 'cost reports']",official,943.0,18.0,4.0,4540.0,12.1487943214,health.data.ny.gov,"['quality-safety-costs', 'reimbursement', 'nursing', 'homes', 'financial', 'cost', 'reports', 'health', 'finance', 'economy', 'health']","['quality-safety-costs', 'reimbursement', 'nursing', 'homes', 'financial', 'cost', 'reports', 'health', 'finance', 'economy', 'health', 'The', 'Nursing', 'Home', 'Cost', 'Report', '(RHCF)', 'is', 'a', 'uniform', 'report', 'completed', 'by', 'New', 'York', 'nursing', 'homes', 'to', 'report', 'income', 'expenses', 'assets', 'liabilities', 'and', 'statistics', 'to', 'the', 'Department', 'of', 'Health', '(DOH)', 'Under', 'DOH', 'regulations', '(Part', '86', '2', '2)', 'nursing', 'homes', 'are', 'required', 'to', 'file', 'financial', 'and', 'statistical', 'data', 'with', 'DOH', 'annually', 'The', 'data', 'filed', 'is', 'part', 'of', 'the', 'cost', 'report', 'and', 'is', 'received', 'electronically', 'through', 'a', 'secured', 'network', 'This', 'data', 'is', 'used', 'to', 'develop', 'Medicaid', 'rates', 'assist', 'in', 'the', 'formulation', 'of', 'reimbursement', 'methodologies', 'and', 'analyze', 'trends', 'For', 'more', 'information', 'check', 'out', 'http', '//www', 'health', 'ny', 'gov/facilities/nursing/', 'or', 'go', 'to', 'the', '“About', '“', 'tab']","[(0, 0.068969053513406903), (1, 0.083412435666768203), (2, 0.073404547865389316), (3, 0.01497368678196009), (4, 0.029776078134531918), (5, 0.059066074946253634), (7, 0.014155982905982908), (10, 0.014401575125072822), (17, 0.030649611737891398), (24, 0.096051243960414201), (26, 0.072259396582710037), (27, 0.034123176276086332), (33, 0.036188767936016865), (34, 0.015517894459265122), (37, 0.054839607298349607), (38, 0.032467122447036534), (39, 0.022131210558385104), (42, 0.023900152124547745), (43, 0.037479754368576937), (44, 0.025256120503374755), (46, 0.030881449327220749), (47, 0.07272647481601352), (50, 0.021845078391241217), (51, 0.028044871794871799)]","[(24, 0.0960512439604142), (1, 0.0834124356667682), (2, 0.07340454786538932), (47, 0.07272647481601352), (26, 0.07225939658271004), (0, 0.0689690535134069), (5, 0.059066074946253634), (37, 0.05483960729834961), (43, 0.03747975436857694), (33, 0.036188767936016865), (27, 0.03412317627608633), (38, 0.032467122447036534), (46, 0.03088144932722075), (17, 0.030649611737891398), (4, 0.029776078134531918), (51, 0.0280448717948718), (44, 0.025256120503374755), (42, 0.023900152124547745), (39, 0.022131210558385104), (50, 0.021845078391241217), (34, 0.015517894459265122), (3, 0.01497368678196009), (10, 0.014401575125072822), (7, 0.014155982905982908)]",24
2145,2145,2145,CTA - Bus Stops - Shapefile,"['Point', 'data', 'representing', 'locations', 'of', 'CTA', 'bus', 'stops', 'See', 'attachment', 'below', 'for', 'information', 'on', 'STATUS', 'and', 'POS', 'fields', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required', 'Projected', 'Coordinate', 'System', 'NAD_1983_StatePlane_Illinois_East_FIPS_1201_Feet']",Chicago Transit Authority,[],[],file,['transportation'],Transportation,"['sustainability', 'cta', 'bus', 'shapefiles', 'gis']",official,3433.0,47.0,14.0,4417.0,12.1091777034,data.cityofchicago.org,"['sustainability', 'cta', 'bus', 'shapefiles', 'gis', 'transportation', 'transportation']","['sustainability', 'cta', 'bus', 'shapefiles', 'gis', 'transportation', 'transportation', 'Point', 'data', 'representing', 'locations', 'of', 'CTA', 'bus', 'stops', 'See', 'attachment', 'below', 'for', 'information', 'on', 'STATUS', 'and', 'POS', 'fields', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required', 'Projected', 'Coordinate', 'System', 'NAD_1983_StatePlane_Illinois_East_FIPS_1201_Feet']","[(0, 0.029429679769091301), (12, 0.058318238346827971), (21, 0.03203438483935845), (23, 0.038065563637422542), (24, 0.31451431108584205), (28, 0.27018276146031878), (30, 0.079102864990811567), (46, 0.11179893451317355), (47, 0.04292688773077992)]","[(24, 0.31451431108584205), (28, 0.2701827614603188), (46, 0.11179893451317355), (30, 0.07910286499081157), (12, 0.05831823834682797), (47, 0.04292688773077992), (23, 0.03806556363742254), (21, 0.03203438483935845), (0, 0.0294296797690913)]",24
2146,2146,2146,School Grounds,"['Schools', 'grounds', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'like', 'WinZip', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required', 'The', 'dbf', 'file', 'may', 'also', 'be', 'opened', 'in', 'Excel', 'Access', 'or', 'other', 'database', 'programs']",Chicago Public Schools,[],[],file,['education'],Education,"['shapefiles', 'gis', 'facilities']",official,2951.0,40.0,6.0,4376.0,12.0957266686,data.cityofchicago.org,"['shapefiles', 'gis', 'facilities', 'education', 'education']","['shapefiles', 'gis', 'facilities', 'education', 'education', 'Schools', 'grounds', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'like', 'WinZip', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required', 'The', 'dbf', 'file', 'may', 'also', 'be', 'opened', 'in', 'Excel', 'Access', 'or', 'other', 'database', 'programs']","[(0, 0.049472214472224323), (12, 0.12827446025019623), (17, 0.035934057055507708), (19, 0.027899986209374637), (21, 0.039915668655842534), (24, 0.45240736564304501), (34, 0.1027607010507612), (35, 0.069908788718095694), (43, 0.066751819979691512)]","[(24, 0.452407365643045), (12, 0.12827446025019623), (34, 0.1027607010507612), (35, 0.0699087887180957), (43, 0.06675181997969151), (0, 0.04947221447222432), (21, 0.039915668655842534), (17, 0.03593405705550771), (19, 0.027899986209374637)]",24
2150,2150,2150,Boundaries - Landmark Districts,"['Landmark', 'district', 'boundaries', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'Esri', 'ArcGIS', 'are', 'required']",City of Chicago,[],[],file,[],Historic Preservation,"['shapefiles', 'gis', 'boundaries']",official,2375.0,80.0,18.0,4274.0,12.0617087047,data.cityofchicago.org,"['shapefiles', 'gis', 'boundaries', 'historic', 'preservation']","['shapefiles', 'gis', 'boundaries', 'historic', 'preservation', 'Landmark', 'district', 'boundaries', 'in', 'Chicago', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'Esri', 'ArcGIS', 'are', 'required']","[(0, 0.048726369017312345), (1, 0.048534798534798487), (21, 0.048534798534798487), (22, 0.096153846153846076), (24, 0.62945031452995182), (29, 0.086475331104749725)]","[(24, 0.6294503145299518), (22, 0.09615384615384608), (29, 0.08647533110474973), (0, 0.048726369017312345), (1, 0.04853479853479849), (21, 0.04853479853479849)]",24
2153,2153,2153,CTA - Bus Routes - Shapefile,"['Shapefile', 'containing', 'line', 'data', 'for', 'CTA', 'bus', 'routes', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']",Chicago Transit Authority,[],[],file,['transportation'],Transportation,"['sustainability', 'cta', 'bus', 'shapefiles', 'gis']",official,3253.0,43.0,5.0,4258.0,12.0562990146,data.cityofchicago.org,"['sustainability', 'cta', 'bus', 'shapefiles', 'gis', 'transportation', 'transportation']","['sustainability', 'cta', 'bus', 'shapefiles', 'gis', 'transportation', 'transportation', 'Shapefile', 'containing', 'line', 'data', 'for', 'CTA', 'bus', 'routes', 'To', 'view', 'or', 'use', 'these', 'files', 'compression', 'software', 'and', 'special', 'GIS', 'software', 'such', 'as', 'ESRI', 'ArcGIS', 'is', 'required']","[(0, 0.040953084082530407), (3, 0.10746237676304324), (8, 0.040769230769230731), (21, 0.040769230769230731), (24, 0.46723841747220929), (28, 0.22214280700297076), (29, 0.046049468525399456)]","[(24, 0.4672384174722093), (28, 0.22214280700297076), (3, 0.10746237676304324), (29, 0.046049468525399456), (0, 0.04095308408253041), (8, 0.04076923076923073), (21, 0.04076923076923073)]",24
